id,label,tag,pr
0,霍都,10,1.2613797390111519
1,丧门鬼,10,0.04317067362788329
2,张志光,10,0.09903031965034852
3,陈大方,10,0.21245535042754538
4,张二叔,10,0.009925065848081699
5,点苍渔隐,10,0.12916793087501252
6,武三娘,10,0.24686997741873598
7,武三通,10,1.5390383923858546
8,笑脸鬼,10,0.10081304815023558
9,青灵子,10,0.030513189738131028
10,耶律燕,10,0.48095206657440065
11,王十三,10,0.029925524465943213
12,李莫愁,10,4.235338053455291
13,子聪,10,0.04457879343628375
14,王惟忠,10,0.19247893183860165
15,忽必烈,10,0.5966462244244682
16,完颜萍,10,1.0374238124962665
17,朱子柳,10,1.2974478169756958
18,史仲猛,10,0.16891048091622607
19,无色,10,0.039785151978597603
20,申志凡,10,0.0991919730226957
21,武修文,10,1.3107732802342198
22,觉远,10,0.2986103267419371
23,公孙绿萼,10,0.45297722392376366
24,冯默风,10,0.17839258992161094
25,裘千尺,10,1.0848927694953356
26,金轮法王,10,2.39237477530798
27,小龙女,10,8.727850785119806
28,小王将军,10,0.08299831657921589
29,无相禅师,10,0.004986836340837156
30,何足道,10,0.07604679697100868
31,耶律楚材,10,0.11899549495484801
32,大头鬼,10,0.33843765127029957
33,赵志敬,10,1.455480470311301
34,耶律齐,10,1.6392608926878158
35,达尔巴,10,0.8968647406509653
36,孙婆婆,10,0.8895726873374441
37,耶律晋,10,0.13416191945507724
38,鹿清笃,10,0.31766555165494703
39,崔志方,10,0.05463717263991013
40,藏边五丑,10,0.06972624327775655
41,煞神鬼,10,0.03198488479736941
42,俏鬼,10,0.034458210974041656
43,天竺僧,10,0.4169245368898741
44,丁大全,10,0.21525611977715117
45,武敦儒,10,1.0817109440410673
46,宋德方,10,0.08909488200586713
47,潇湘子,10,1.8821829679023956
48,杨过,10,16.90317048805428
49,樊一翁,10,0.6528159149520035
50,林朝英,10,0.28330698680141636
51,蓝天和,10,0.05535811310347668
52,郭芙,10,4.083776200514847
53,马光佐,10,0.7060831544420256
54,史伯威,10,0.16646837410346418
55,宋五,10,0.08763348755682028
56,洪凌波,10,0.7641348030221184
57,郭襄,10,2.7326754095565304
58,柔儿,10,0.06447239694148357
59,郭破虏,10,0.12163241060140717
60,尹克西,10,1.4635146638669005
61,张君宝,10,0.2831688672696591
62,铁匠,10,0.10402315026941948
63,史季强,10,0.2716254060226622
64,陆二娘,10,0.0936035721778199
65,陆无双,10,2.351048923416176
66,尼摩星,10,1.431912594419794
67,讨债鬼,10,0.01272318394874887
68,史叔刚,10,0.1954903109776307
