Source,Target,id,weight
7,48,0,0.09278350515463918
8,18,1,0.05714285714285714
14,57,2,0.375
15,24,3,0.008333333333333333
7,47,4,0.13953488372093023
14,55,5,0.09090909090909091
15,27,6,0.09166666666666666
21,26,7,0.03125
15,26,8,0.14166666666666666
2,38,9,0.0021141649048625794
2,37,10,0.010570824524312896
1,67,11,0.5
2,36,12,0.0625
1,68,13,0.29411764705882354
15,21,14,0.03333333333333333
2,34,15,0.035940803382663845
32,42,16,0.03333333333333333
7,43,17,0.010309278350515464
2,33,18,0.203125
1,63,19,0.35294117647058826
7,45,20,0.07216494845360824
26,35,21,0.14285714285714285
32,48,22,0.09090909090909091
10,16,23,0.125
10,21,24,0.041237113402061855
21,38,25,0.015625
31,65,26,0.18518518518518517
32,34,27,0.6363636363636364
2,48,28,0.390625
7,53,29,0.09302325581395349
2,47,30,0.046875
3,14,31,0.3333333333333333
7,52,32,0.16494845360824742
2,46,33,0.015625
2,43,34,0.0021141649048625794
48,54,35,0.2
48,51,36,0.09090909090909091
2,39,37,0.03125
10,27,38,0.010309278350515464
48,59,39,0.041666666666666664
48,57,40,0.09090909090909091
26,40,41,0.21428571428571427
13,66,42,0.08333333333333333
2,52,43,0.07610993657505286
6,7,44,0.15789473684210525
19,48,45,0.375
3,28,46,0.08333333333333333
8,32,47,0.16666666666666666
7,63,48,0.015503875968992248
2,57,49,0.010570824524312896
7,66,50,0.023255813953488372
2,56,51,0.052854122621564484
7,65,52,0.05154639175257732
13,60,53,0.2222222222222222
7,68,54,0.007751937984496124
8,34,55,0.14285714285714285
25,49,56,0.03875968992248062
48,49,57,0.02857142857142857
2,62,58,0.0021141649048625794
14,44,59,0.25
2,60,60,0.015625
14,48,61,0.09090909090909091
2,66,62,0.03125
2,65,63,0.015625
2,64,64,0.006342494714587738
47,61,65,0.05263157894736842
31,48,66,0.2916666666666667
42,54,67,0.16666666666666666
4,12,68,0.03211009174311927
13,48,69,0.2676056338028169
4,16,70,0.013761467889908258
19,29,71,0.125
4,17,72,0.03211009174311927
13,47,73,0.007042253521126761
18,54,74,0.16666666666666666
19,22,75,0.25
31,34,76,0.16666666666666666
3,48,77,0.08333333333333333
3,44,78,0.3333333333333333
47,53,79,0.19014084507042253
25,26,80,0.023255813953488372
31,37,81,0.2222222222222222
3,52,82,0.125
4,23,83,0.0045871559633027525
13,53,84,0.05
4,25,85,0.5
4,26,86,0.5
14,28,87,0.25
8,63,88,0.2
3,57,89,0.08333333333333333
13,52,90,0.025
18,63,91,0.2
3,55,92,0.08333333333333333
9,35,93,0.5
47,48,94,0.19298245614035087
4,7,95,0.045871559633027525
4,34,96,0.03211009174311927
12,56,97,0.3181818181818182
12,58,98,0.15384615384615385
18,32,99,0.16666666666666666
17,61,100,0.21666666666666667
12,50,101,0.07017543859649122
30,47,102,0.06666666666666667
13,33,103,0.025
12,64,104,0.15789473684210525
12,63,105,0.06666666666666667
12,66,106,0.027777777777777776
12,65,107,0.15789473684210525
13,32,108,0.008333333333333333
4,47,109,0.009174311926605505
4,48,110,0.43577981651376146
18,48,111,0.2
4,49,112,0.022935779816513763
12,60,113,0.01098901098901099
12,62,114,0.38095238095238093
4,43,115,0.013761467889908258
9,57,116,0.5
12,30,117,0.06666666666666667
12,33,118,0.006493506493506494
4,58,119,0.027522935779816515
12,35,120,0.017543859649122806
12,34,121,0.012987012987012988
12,37,122,0.06666666666666667
12,36,123,0.017543859649122806
0,13,124,0.007042253521126761
0,14,125,0.001890359168241966
0,11,126,0.0017740981667652277
0,12,127,0.007905138339920948
0,10,128,0.0196078431372549
4,52,129,0.045871559633027525
4,53,130,0.013761467889908258
46,47,131,0.1111111111111111
12,41,132,0.06666666666666667
12,43,133,0.10714285714285714
13,15,134,0.025
12,48,135,0.2857142857142857
12,47,136,0.08333333333333333
0,24,137,0.0079155672823219
0,25,138,0.02112676056338028
0,22,139,0.007561436672967864
4,60,140,0.01834862385321101
0,23,141,0.0020833333333333333
0,20,142,0.006825938566552901
0,21,143,0.003952569169960474
17,52,144,0.125
4,65,145,0.013761467889908258
0,19,146,0.0012254901960784314
0,17,147,0.1422924901185771
0,18,148,0.003952569169960474
23,57,149,0.013761467889908258
0,15,150,0.04225352112676056
0,16,151,0.0020833333333333333
12,49,152,0.02197802197802198
13,17,153,0.008333333333333333
2,6,154,0.012684989429175475
2,7,155,0.014799154334038054
16,58,156,0.004784688995215311
12,15,157,0.027777777777777776
40,48,158,0.6428571428571429
0,35,159,0.007042253521126761
23,27,160,0.12844036697247707
34,48,161,0.02857142857142857
0,36,162,0.007905138339920948
0,33,163,0.011857707509881422
17,22,164,0.03333333333333333
0,34,165,0.011857707509881422
0,31,166,0.0121580547112462
0,32,167,0.003952569169960474
6,12,168,0.42105263157894735
0,30,169,0.0034129692832764505
0,26,170,0.07042253521126761
23,25,171,0.05963302752293578
0,27,172,0.07042253521126761
23,26,173,0.03669724770642202
12,17,174,0.017543859649122806
12,16,175,0.07692307692307693
22,57,176,0.06666666666666667
11,48,177,1.0
12,20,178,0.2
39,48,179,0.5454545454545454
12,21,180,0.05263157894736842
12,24,181,0.2857142857142857
12,23,182,0.02197802197802198
12,26,183,0.017543859649122806
12,25,184,0.46153846153846156
0,46,185,0.003952569169960474
0,47,186,0.015810276679841896
0,44,187,0.001890359168241966
34,35,188,0.02857142857142857
0,45,189,0.003952569169960474
0,42,190,0.046875
6,21,191,0.04
0,43,192,0.003676470588235294
0,40,193,0.00625
0,41,194,0.003952569169960474
22,60,195,0.23333333333333334
0,39,196,0.010238907849829351
0,37,197,0.00303951367781155
0,38,198,0.004166666666666667
12,27,199,0.14935064935064934
1,8,200,0.11764705882352941
6,36,201,0.012987012987012988
16,37,202,0.25
0,50,203,0.0020833333333333333
0,57,204,0.03162055335968379
0,58,205,5.913660555884093E-4
15,60,206,0.058333333333333334
0,55,207,0.005671077504725898
0,56,208,0.0024509803921568627
0,53,209,0.003952569169960474
0,54,210,0.003780718336483932
0,51,211,0.001890359168241966
16,31,212,0.16666666666666666
0,52,213,0.07509881422924901
16,30,214,0.037037037037037035
1,18,215,0.5
0,48,216,0.2885375494071146
0,49,217,0.08450704225352113
0,60,218,0.11267605633802817
0,61,219,0.005671077504725898
7,17,220,0.020618556701030927
17,19,221,0.03333333333333333
7,16,222,0.20618556701030927
6,48,223,0.02
7,18,224,0.007751937984496124
22,48,225,0.2833333333333333
0,68,226,0.013232514177693762
0,66,227,0.11971830985915492
0,67,228,0.03333333333333333
1,32,229,0.058823529411764705
0,64,230,0.0045871559633027525
7,10,231,0.05154639175257732
0,65,232,0.004166666666666667
1,30,233,0.020833333333333332
0,62,234,0.0017740981667652277
